code,name,year,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,4G connectivity,Fibre connectivity,Population,GVA/H volume,Hours
TLD11,West Cumbria,2020,31.1,0.1923363095238095,0.0868700265251989,0.2020051986632008,0.3327144448570368,0.7835128109914593,0.395368782161235,0.5839976405888119,0.6892655561163026,0.019020732263211,230566.0,108.4,2850012.0
TLD11,West Cumbria,2021,31.8,0.2269765803838704,0.0904794058068872,0.2375578168362627,0.299722479185939,0.7341350601295097,0.324982602644398,0.5851542945236919,0.7021225087554315,0.0348541653155198,230922.0,109.9,2846155.0
TLD11,West Cumbria,2022,32.0,0.2225741913971324,0.0870848708487084,0.1116902457185405,0.308265078183172,0.7728965003723008,0.4032786885245901,0.5805835231865951,0.7026348820165902,0.1778790770717565,231319.0,95.7,3222754.0
TLD11,West Cumbria,2023,,,,,,,,,0.7129097045263201,0.2548268852984805,,,
TLD11,West Cumbria,2024,,,,,,,,,0.7063237332393509,0.3599554491133075,,,
TLD12,East Cumbria,2004,22.7,,,,,,,,,,259477.0,90.4,4362113.0
TLD12,East Cumbria,2005,22.4,,,,,,,,,,261561.0,101.7,3915847.0
TLD12,East Cumbria,2006,23.5,,,,,,,,,,262938.0,104.6,4061597.0
TLD12,East Cumbria,2007,23.7,,,,,,,,,,264188.0,89.2,4715982.0
TLD12,East Cumbria,2008,23.9,,,,,,,,,,264097.0,93.8,4542823.0
TLD12,East Cumbria,2009,24.4,,,,,,,,,,263971.0,94.7,4310739.0
TLD12,East Cumbria,2010,24.9,,,,,,,,,,263806.0,89.1,4625351.0
TLD12,East Cumbria,2011,25.5,,,,,,,,,,263690.0,101.3,4002663.0
TLD12,East Cumbria,2012,25.6,,,0.2200867947923124,0.3496590204587724,0.8183508989460633,0.2798634812286689,0.6109478213441609,,,264016.0,93.0,4398692.0
TLD12,East Cumbria,2013,26.0,,,0.2309136420525657,0.3479349186483104,0.8208698372966208,0.2733624454148471,0.6048562614735328,,,264195.0,93.4,4457598.0
TLD12,East Cumbria,2014,26.4,,,0.2011067193675889,0.3124110671936759,0.8064822134387352,0.2442810457516339,0.5976114439048357,,,264595.0,90.7,4720934.0
TLD12,East Cumbria,2015,27.3,,,0.1913659793814432,0.3498711340206185,0.8187822164948454,0.2417777777777777,0.5852871187808529,,,265169.0,97.9,4465948.0
TLD12,East Cumbria,2016,28.1,0.1794701986754966,,0.2160602660682801,0.3231287065234813,0.811668536624459,0.2629787234042553,0.5868509272602085,,,265783.0,96.4,4452504.0
TLD12,East Cumbria,2017,28.9,0.1945401199132542,0.0851501439736733,0.1910331384015594,0.3450292397660818,0.8190383365821963,0.2791741472172352,0.5771112936067768,,,266673.0,95.9,4533947.0
TLD12,East Cumbria,2018,29.6,0.2196960020436837,0.0796165068778657,0.1926216127979105,0.3343127652628142,0.8274567417564479,0.2696310312204352,0.5731254139862809,0.5157941358868473,0.0367578670196693,267219.0,97.1,4444296.0
TLD12,East Cumbria,2019,30.2,0.2514347202295552,0.0808333333333333,0.1886422976501305,0.3439947780678851,0.83322454308094,0.2954990215264187,0.5718765164806451,0.5239959389820765,0.0523955078325497,267890.0,100.0,4535359.0
TLD12,East Cumbria,2020,31.0,0.1976326639180742,0.0878210439105219,0.1720149861540967,0.419612314709236,0.8446000977357876,0.3134171907756813,0.5729394153199464,0.5819694099336669,0.0734656644193127,267873.0,91.2,4279798.0
TLD12,East Cumbria,2021,31.8,0.2165173165415354,0.0928629359286293,0.1561461794019933,0.3641196013289036,0.8186046511627907,0.2527472527472527,0.5578061354968552,0.6067775621531594,0.0895174541310695,269807.0,91.4,4658511.0
TLD12,East Cumbria,2022,32.7,0.2488722631752668,0.0940613790354723,0.0963696369636963,0.4204620462046204,0.8297029702970297,0.3565891472868217,0.5575715642182589,0.6563037542570952,0.2348241669449081,271714.0,103.9,4277461.0
TLD12,East Cumbria,2023,,,,,,,,,0.6373349476222974,0.3829578526798434,,,
